,avg_similarity,n_topics_resolved,rep,supervision,topic_coverage
69,0.0344362798923,9.0,10.0,0.01,0.288888888889
70,0.0305667402679,6.0,11.0,0.01,0.288888888889
71,0.0289461686143,4.0,12.0,0.01,0.322222222222
72,0.0372925683245,9.0,13.0,0.01,0.322222222222
73,0.0389986131412,10.0,14.0,0.01,0.311111111111
74,0.0329872652341,10.0,15.0,0.01,0.322222222222
75,0.0315933380681,6.0,16.0,0.01,0.333333333333
76,0.0296110909412,7.0,17.0,0.01,0.211111111111
77,0.0273440367215,6.0,18.0,0.01,0.266666666667
78,0.0313779988099,6.0,19.0,0.01,0.377777777778
79,0.0348542508775,6.0,20.0,0.01,0.388888888889
80,0.0375675652231,9.0,21.0,0.01,0.4
81,0.0285152618725,7.0,22.0,0.01,0.277777777778
82,0.0282705973213,7.0,23.0,0.01,0.322222222222
83,0.0368065192999,9.0,24.0,0.01,0.422222222222
84,0.0351678911689,8.0,25.0,0.01,0.344444444444
85,0.0309044144051,7.0,26.0,0.01,0.3
86,0.0344272430804,8.0,27.0,0.01,0.355555555556
87,0.0355186984458,10.0,28.0,0.01,0.3
88,0.0324039013036,9.0,29.0,0.01,0.4
89,0.0330216583756,9.0,30.0,0.01,0.288888888889
90,0.042503798511,17.0,1.0,0.02,0.477777777778
91,0.0372256790868,9.0,2.0,0.02,0.511111111111
92,0.0366604435255,8.0,3.0,0.02,0.455555555556
93,0.0382513124879,10.0,4.0,0.02,0.555555555556
94,0.0380671413542,11.0,5.0,0.02,0.511111111111
95,0.0360218895673,6.0,6.0,0.02,0.433333333333
96,0.0412556981824,12.0,7.0,0.02,0.577777777778
97,0.0404867991419,11.0,8.0,0.02,0.5
98,0.0377775753583,9.0,9.0,0.02,0.555555555556
99,0.0371683247606,11.0,10.0,0.02,0.422222222222
100,0.0387217755773,12.0,11.0,0.02,0.455555555556
101,0.0360746333425,9.0,12.0,0.02,0.522222222222
102,0.0402379846114,14.0,13.0,0.02,0.444444444444
103,0.0432321742747,14.0,14.0,0.02,0.4
104,0.035662789187,8.0,15.0,0.02,0.444444444444
105,0.0356885944642,8.0,16.0,0.02,0.455555555556
106,0.0400737277441,13.0,17.0,0.02,0.477777777778
107,0.0355284617694,7.0,18.0,0.02,0.477777777778
108,0.0330652156162,4.0,19.0,0.02,0.633333333333
109,0.038156343461,11.0,20.0,0.02,0.5
110,0.0371450366439,9.0,21.0,0.02,0.455555555556
111,0.0448283309183,14.0,22.0,0.02,0.488888888889
112,0.0322644641161,6.0,23.0,0.02,0.477777777778
113,0.0323669574738,6.0,24.0,0.02,0.455555555556
114,0.0399903292401,13.0,25.0,0.02,0.388888888889
115,0.0395980238715,16.0,26.0,0.02,0.4
116,0.0343036862386,8.0,27.0,0.02,0.433333333333
117,0.0345441235157,10.0,28.0,0.02,0.433333333333
118,0.0390164384738,13.0,29.0,0.02,0.466666666667
119,0.0407246757428,12.0,30.0,0.02,0.488888888889
120,0.0492530493182,19.0,1.0,0.05,0.7
121,0.0456325163817,14.0,2.0,0.05,0.566666666667
122,0.0548358452474,20.0,3.0,0.05,0.622222222222
123,0.0566545697159,19.0,4.0,0.05,0.611111111111
124,0.0609112307353,25.0,5.0,0.05,0.633333333333
125,0.0546599342538,23.0,6.0,0.05,0.677777777778
126,0.0572475614217,24.0,7.0,0.05,0.611111111111
127,0.0586054667867,25.0,8.0,0.05,0.622222222222
128,0.0454195964371,17.0,9.0,0.05,0.566666666667
129,0.0534938015697,21.0,10.0,0.05,0.666666666667
130,0.0520316117156,21.0,11.0,0.05,0.711111111111
131,0.0498621393697,17.0,12.0,0.05,0.633333333333
132,0.0546776199736,22.0,13.0,0.05,0.633333333333
133,0.0524626691719,17.0,14.0,0.05,0.655555555556
134,0.0521174080311,22.0,15.0,0.05,0.722222222222
135,0.0558348000036,18.0,16.0,0.05,0.677777777778
136,0.0465360504785,12.0,17.0,0.05,0.644444444444
137,0.0524768165647,17.0,18.0,0.05,0.655555555556
138,0.0546194732447,19.0,19.0,0.05,0.655555555556
139,0.0521465556688,17.0,20.0,0.05,0.644444444444
140,0.0495064309629,13.0,21.0,0.05,0.633333333333
141,0.0530296394261,18.0,22.0,0.05,0.622222222222
142,0.0485586634112,14.0,23.0,0.05,0.655555555556
143,0.0575378793471,24.0,24.0,0.05,0.577777777778
144,0.0477768843431,15.0,25.0,0.05,0.644444444444
145,0.0464645697019,13.0,26.0,0.05,0.677777777778
146,0.0527810516549,17.0,27.0,0.05,0.755555555556
147,0.0590971743528,25.0,28.0,0.05,0.644444444444
148,0.0571197385387,21.0,29.0,0.05,0.666666666667
149,0.0514736507918,21.0,30.0,0.05,0.644444444444
150,0.0639918806545,29.0,1.0,0.1,0.833333333333
151,0.0711828246497,27.0,2.0,0.1,0.811111111111
152,0.0689173962877,25.0,3.0,0.1,0.8
153,0.0746192309473,32.0,4.0,0.1,0.722222222222
154,0.0661569311116,27.0,5.0,0.1,0.7
155,0.0707963800382,32.0,6.0,0.1,0.688888888889
156,0.0774572441095,30.0,7.0,0.1,0.777777777778
